URL,Title,SKU,Country,Area,Body,Size,Feels Like,Finish,Colour,Warranty,Edging,Images
http://www.nationaltiles.com.au/vic_pm/products/tiles/gloss-white-19116,Gloss White ,NT7-005WP,China,"Bathroom, Laundry, Wall",Ceramic,200 x 300mm,Polished Concrete,Gloss,White,10 Year Guarantee,Pressed,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/t/nt7-005wp.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/gloss-white-19115,Gloss White ,MAXWP014,China,"Bathroom, Kitchen, Laundry, Wall",Ceramic,152 x 152mm,Polished Concrete,Gloss,White,10 Year Guarantee,Pressed,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxwp014.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/venus-crema-natural,Venus Crema Natural ,MAXFL2420,China,"Bathroom, Floor, Kitchen, Laundry, Living",Porcelain,600 x 600mm,Fine Grain Cement,Natural,Ivory,10 Year Guarantee,Rectified,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl2420.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/venus-bianco-natural,Venus Bianco Natural,MAXFL2405,China,"Bathroom, Floor, Kitchen, Laundry, Living",Porcelain,600 x 600mm,Fine Grain Cement,Natural,Cream,10 Year Guarantee,Rectified,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl2405.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/venus-bianco-external,Venus Bianco External ,MAXFL2410,China,Outdoor,Porcelain,600 x 600mm,Sand,External,Cream,10 Year Guarantee,Rectified,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl2410.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/venus-crema-external,Venus Crema External ,MAXFL2425,China,Outdoor,Porcelain,600 x 600mm,Sand,External,Ivory,10 Year Guarantee,Rectified,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl2425.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/gloss-white,Gloss White,BELWP100,China,"Bathroom, Laundry, Wall",Ceramic,300 x 600mm,Polished Concrete,Gloss,White,10 Year Guarantee,Rectified,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/e/belwp100.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/gloss-white-19108,Gloss White,BELWP200,China,"Bathroom, Kitchen, Laundry, Wall",Ceramic,300 x 100mm,Polished Concrete,Gloss,White,10 Year Guarantee,Pressed,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/h/white_gloss_100x300.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/e/belwp200.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/gloss-white-19109,Gloss White,BELWP303,China,"Bathroom, Kitchen, Laundry, Wall",Ceramic,400 x 100mm,Polished Concrete,Gloss,White,10 Year Guarantee,Pressed,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/e/belwp303.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/gloss-white-19110,Gloss White,MAXWL030,China,"Bathroom, Kitchen, Laundry, Wall",Ceramic,75 x 150mm,Polished Concrete,Gloss,White,10 Year Guarantee,Pressed,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxwl030.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/gloss-white-19111,Gloss White,MAXWL056,China,"Bathroom, Laundry, Wall",Ceramic,300 x 600mm,Polished Concrete,Gloss,White,10 Year Guarantee,Pressed,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxwl056.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/gloss-white-19112,Gloss White,MAXWL2711,China,"Bathroom, Laundry, Wall",Ceramic,250 x 400mm,Polished Concrete,Gloss,White,10 Year Guarantee,Pressed,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxwl2711.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/gloss-white-19113,Gloss White ,MAXWL2731,China,"Bathroom, Kitchen, Laundry, Wall",Ceramic,200 x 200mm,Polished Concrete,Gloss,White,10 Year Guarantee,Pressed,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxwl2731.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/gloss-white-19114,Gloss White ,MAXWP013,China,"Bathroom, Kitchen, Laundry, Wall",Ceramic,100 x 200mm,Polished Concrete,Gloss,White,10 Year Guarantee,Pressed,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxwp013.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/woodline-driftwood,Woodline Driftwood ,NT14-6015FL,China,"Bathroom, Floor, Kitchen, Living",Porcelain,200 x 900mm,Wood,Matt/ Glazed,Light Grey,10 Year Guarantee,Rectified,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/t/nt14-6015fl.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-nero-polished-grooved-18997,Stratos Nero Polished Grooved,MAXFL7275,China,"Bathroom, Kitchen, Laundry, Wall",Porcelain,298 x 600mm,Polished Concrete,Polished,Black,10 Year Guarantee,Rectified,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl7275.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika,Stratos Nero Natural,MAXFL1036,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 298mm,Fine Grain Cement,Matt,Black,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl1036.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/e/metricon-maxfl1036_nero_nat_300x300_1.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-mocca-natural-18950,Stratos Mocca Natural,MAXFL7092,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,600 x 600mm,Fine Grain Cement,Matt,Mocca,10 Year Guarantee,Rectified,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl7092.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-nero-natural-18942,Stratos Nero Natural,MAXFL1035,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,600 x 600mm,Fine Grain Cement,Matt,Black,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl1035.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl1035_5.jpg"
